time,state_0,state_1
3.020000000001393e+01,9.708191599199102e-02,-1.972437197775803e-02
3.030000000001405e+01,9.465053693848684e-02,-2.883230990894450e-02
3.040000000001417e+01,9.133097996791921e-02,-3.747467739336957e-02
3.050000000001429e+01,8.717367061854142e-02,-4.557519945263746e-02
3.060000000001441e+01,8.223632333074984e-02,-5.306447161425375e-02
3.070000000001454e+01,7.658322618192108e-02,-5.988051044438013e-02
3.080000000001466e+01,7.028447475529924e-02,-6.596921976731099e-02
3.090000000001478e+01,6.341516372903350e-02,-7.128476962915102e-02
3.100000000001490e+01,5.605454501970157e-02,-7.578988598460731e-02
3.110000000001503e+01,4.828516147057761e-02,-7.945605000899532e-02
3.120000000001515e+01,4.019196513880722e-02,-8.226360685332083e-02
3.130000000001527e+01,3.186142920872109e-02,-8.420178455973705e-02
3.140000000001539e+01,2.338066244282145e-02,-8.526862472919844e-02
3.150000000001551e+01,1.483653488040987e-02,-8.547082737460071e-02
3.160000000001564e+01,6.314823210091651e-03,-8.482351319342576e-02
3.170000000001576e+01,-2.100616119082268e-03,-8.334990724679089e-02
3.180000000001588e+01,-1.032863841716916e-02,-8.108094873034044e-02
3.190000000001600e+01,-1.829155977390304e-02,-7.805483216076609e-02
3.200000000001612e+01,-2.591585701219129e-02,-7.431648587479202e-02
3.210000000001589e+01,-3.313281262190181e-02,-6.991699424082522e-02
3.220000000001566e+01,-3.987909938345063e-02,-6.491297041355840e-02
3.230000000001542e+01,-4.609730009207259e-02,-5.936588681581180e-02
3.240000000001519e+01,-5.173635852653924e-02,-5.334137080782318e-02
3.250000000001496e+01,-5.675195856260504e-02,-4.690847320085255e-02
3.260000000001472e+01,-6.110682910366372e-02,-4.013891738898762e-02
3.270000000001449e+01,-6.477097328103192e-02,-3.310633691083571e-02
3.280000000001426e+01,-6.772182115607740e-02,-2.588550921256213e-02
3.290000000001402e+01,-6.994430592836354e-02,-1.855159326742814e-02
3.300000000001379e+01,-7.143086441061064e-02,-1.117937851724875e-02
3.310000000001356e+01,-7.218136326539205e-02,-3.842552341364801e-03
3.320000000001333e+01,-7.220295320327924e-02,3.387007067238707e-03
3.330000000001309e+01,-7.150985401122692e-02,1.043990592660005e-02
3.340000000001286e+01,-7.012307390743985e-02,1.724987214327757e-02
3.350000000001263e+01,-6.807006729940254e-02,2.375434908986635e-02
3.360000000001239e+01,-6.538433555037068e-02,2.989504086999815e-02
3.370000000001216e+01,-6.210497583221541e-02,3.561840463744877e-02
3.380000000001193e+01,-5.827618355551674e-02,4.087608614752655e-02
3.390000000001169e+01,-5.394671421830374e-02,4.562529535616267e-02
3.400000000001146e+01,-4.916931080062410e-02,4.982911953825638e-02
3.410000000001123e+01,-4.400010305163155e-02,5.345677206497956e-02
3.420000000001099e+01,-3.849798516825834e-02,5.648377565307027e-02
3.430000000001076e+01,-3.272397844960914e-02,5.889207957087875e-02
3.440000000001053e+01,-2.674058552946488e-02,6.067011094945888e-02
3.450000000001030e+01,-2.061114274186163e-02,6.181276099592151e-02
3.460000000001006e+01,-1.439917706338067e-02,6.232130753445544e-02
3.470000000000983e+01,-8.167773902919138e-03,6.220327590206814e-02
3.480000000000960e+01,-1.978961778232938e-03,6.147224079578226e-02
3.490000000000936e+01,4.106880368093076e-03,6.014757220073700e-02
3.500000000000913e+01,1.003158779846167e-02,5.825412901985184e-02
3.510000000000890e+01,1.573974152582438e-02,5.582190447137327e-02
